approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,artificial_log.xes,0.2,1,org:group,baseline,none,0.0,2,0.25,0.2857142857142857,0.2857142857142857,0.0,0,0,0,34,34,0.0,0,8,0.0,42,12,30,0.2857142857142857,0.2857142857142857,0,22,8,1.0,0.7142857142857143,34,154,0,3.6666666666666665,4,4,8,6.710000161547214e-05,0.0001590999963809736,0.00022619999799644575,0.003788095151927943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.2,1,org:group,manipulated,deletion,0.2,2,0.25,0.2857142857142857,0.2777777777777778,0.007936507936507908,6,0,6,34,28,0.17647058823529413,6,8,0.75,36,10,26,0.2777777777777778,0.2777777777777778,0,20,6,1.0,0.7222222222222222,28,124,0,3.4444444444444446,4,4,8,6.710000161547214e-05,0.00013069999840809032,0.00019780000002356246,0.0036305555113358423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.2,1,org:group,manipulated,insertion,0.2,2,0.25,0.2857142857142857,0.2857142857142857,0.0,7,7,0,34,41,0.20588235294117646,7,8,0.875,49,14,35,0.2857142857142857,0.2857142857142857,0,27,8,1.0,0.7142857142857143,41,185,4,3.7755102040816326,4,4,8,6.710000161547214e-05,0.0001700999928289093,0.00023719999444438145,0.0034714284250797816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.2,1,org:group,baseline,none,0.0,2,0.25,0.7261904761904762,0.7261904761904762,0.0,0,0,0,34,34,0.0,0,8,0.0,34,,10,0.7261904761904762,0.7058823529411765,,,,1.0,0.27380952380952384,34,28,48,,,,,0.0034804000024450943,0.0016637999942759052,0.0051441999967209995,0.04893529394929133,token_replay,distributed,inductive,inductive,{},8,8,18,4,4,4,4,0,[],0,[],1.0,4,2,3,9,1,4,8,24,0,42,42,10,13,24,48,6,34
distributed_tbr,artificial_log.xes,0.2,1,org:group,manipulated,deletion,0.2,2,0.25,0.7261904761904762,0.6111111111111112,0.115079365079365,6,0,6,34,28,0.17647058823529413,6,8,0.75,28,,11,0.6111111111111112,0.6071428571428571,,,,1.0,0.38888888888888884,28,20,39,,,,,0.0034804000024450943,0.0012504999976954423,0.004730900000140537,0.044660714203408655,token_replay,distributed,inductive,inductive,{},8,8,18,4,4,4,4,0,[],0,[],1.0,4,2,3,9,1,4,8,17,0,36,36,11,17,17,39,3,28
distributed_tbr,artificial_log.xes,0.2,1,org:group,manipulated,insertion,0.2,2,0.25,0.7261904761904762,0.6734693877551021,0.05272108843537404,7,7,0,34,41,0.20588235294117646,7,8,0.875,41,,15,0.6734693877551021,0.6341463414634146,,,,1.0,0.3265306122448979,41,34,56,,,,,0.0034804000024450943,0.0013967999984743074,0.004877200000919402,0.034068292645714815,token_replay,distributed,inductive,inductive,{},8,8,18,4,4,4,4,0,[],0,[],1.0,4,2,3,9,1,4,8,26,0,49,49,15,17,26,56,8,41
checkmyflow,artificial_log.xes,0.4,1,org:group,baseline,none,0.0,2,0.25,0.7096774193548387,0.7096774193548387,0.0,0,0,0,25,25,0.0,0,6,0.0,31,22,9,0.7096774193548387,0.7096774193548387,0,8,1,1.0,0.29032258064516125,25,113,0,3.6451612903225805,4,4,16,0.00014250000094762072,0.000265199996647425,0.0004076999975950457,0.008554838601529838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.4,1,org:group,manipulated,deletion,0.2,2,0.25,0.7096774193548387,0.7037037037037037,0.005973715651135025,4,0,4,25,21,0.16,4,6,0.6666666666666666,27,19,8,0.7037037037037037,0.7037037037037037,0,6,2,1.0,0.2962962962962963,21,93,0,3.4444444444444446,4,4,16,0.00014250000094762072,0.00010109999857377261,0.00024359999952139333,0.003744444391621208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.4,1,org:group,manipulated,insertion,0.2,2,0.25,0.7096774193548387,0.7428571428571429,-0.03317972350230414,4,4,0,25,29,0.16,4,6,0.6666666666666666,35,26,9,0.7428571428571429,0.7428571428571429,0,8,1,1.0,0.2571428571428571,29,133,0,3.8,4,4,16,0.00014250000094762072,0.00013349999790079892,0.00027599999884841964,0.0038142856543085407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.4,1,org:group,baseline,none,0.0,2,0.25,0.8709677419354839,0.8709677419354839,0.0,0,0,0,25,25,0.0,0,6,0.0,25,,4,0.8709677419354839,0.84,,,,1.0,0.12903225806451613,25,30,64,,,,,0.0028090000050724484,0.0035153999997419305,0.006324400004814379,0.14061599998967722,token_replay,distributed,inductive,inductive,{},14,16,36,4,12,4,4,0,[],0,[],1.0,4,2,4,14,1,6,16,21,0,31,31,4,4,21,64,12,25
