approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,artificial_log.xes,0.2,1,org:group,baseline,none,0.0,2,0.25,0.2857142857142857,0.2857142857142857,0.0,0,0,0,34,34,0.0,0,8,0.0,42,12,30,0.2857142857142857,0.2857142857142857,0,22,8,1.0,0.7142857142857143,34,154,0,3.6666666666666665,4,4,8,8.679999154992402e-05,0.00015549999079667032,0.00024229998234659433,0.003702380733254055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.2,1,org:group,manipulated,deletion,0.2,2,0.25,0.2857142857142857,0.2777777777777778,0.007936507936507908,6,0,6,34,28,0.17647058823529413,6,8,0.75,36,10,26,0.2777777777777778,0.2777777777777778,0,20,6,1.0,0.7222222222222222,28,124,0,3.4444444444444446,4,4,8,8.679999154992402e-05,0.00013050000416114926,0.00021729999571107328,0.00362500011558748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.2,1,org:group,manipulated,insertion,0.2,2,0.25,0.2857142857142857,0.2857142857142857,0.0,7,7,0,34,41,0.20588235294117646,7,8,0.875,49,14,35,0.2857142857142857,0.2857142857142857,0,27,8,1.0,0.7142857142857143,41,185,4,3.7755102040816326,4,4,8,8.679999154992402e-05,0.00018199998885393143,0.00026879998040385544,0.0037142854868149272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.2,1,org:group,baseline,none,0.0,2,0.25,0.5238095238095238,0.5238095238095238,0.0,0,0,0,34,34,0.0,0,8,0.0,34,,8,0.5238095238095238,0.7647058823529411,,,,0.4857142857142857,-0.038095238095238126,34,8,8,,,,,0.0024073999957181513,0.0013275999808683991,0.0037349999765865505,0.03904705826083527,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",5,4,6,4,0,4,4,0,[],0,[],1.0,4,1,2,6,1,1,4,26,0,24,42,8,26,26,8,8,34
distributed_tbr,artificial_log.xes,0.2,1,org:group,manipulated,deletion,0.2,2,0.25,0.5238095238095238,0.6031746031746031,-0.0793650793650793,6,0,6,34,28,0.17647058823529413,6,8,0.75,28,,5,0.6031746031746031,0.8214285714285714,,,,0.4857142857142857,-0.11746031746031743,28,8,5,,,,,0.0024073999957181513,0.0009876000112853944,0.0033950000070035458,0.035271428974478373,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",5,4,6,4,0,4,4,0,[],0,[],1.0,4,1,2,6,1,1,4,23,0,21,36,5,20,23,5,8,28
distributed_tbr,artificial_log.xes,0.2,1,org:group,manipulated,insertion,0.2,2,0.25,0.5238095238095238,0.4595616024187453,0.06424792139077856,7,7,0,34,41,0.20588235294117646,7,8,0.875,41,,11,0.4595616024187453,0.7317073170731707,,,,0.4857142857142857,0.026152683295540435,41,11,8,,,,,0.0024073999957181513,0.002646800014190376,0.005054200009908527,0.06455609790708235,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",5,4,6,4,0,4,4,0,[],0,[],1.0,4,1,2,6,1,1,4,30,0,27,49,11,33,30,8,11,41
checkmyflow,artificial_log.xes,0.4,1,org:group,baseline,none,0.0,2,0.25,0.7096774193548387,0.7096774193548387,0.0,0,0,0,25,25,0.0,0,6,0.0,31,22,9,0.7096774193548387,0.7096774193548387,0,8,1,1.0,0.29032258064516125,25,113,0,3.6451612903225805,4,4,16,5.259999306872487e-05,0.00010539998766034842,0.00015799998072907329,0.003399999601946723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.4,1,org:group,manipulated,deletion,0.2,2,0.25,0.7096774193548387,0.7037037037037037,0.005973715651135025,4,0,4,25,21,0.16,4,6,0.6666666666666666,27,19,8,0.7037037037037037,0.7037037037037037,0,6,2,1.0,0.2962962962962963,21,93,0,3.4444444444444446,4,4,16,5.259999306872487e-05,0.00011330001871101558,0.00016590001177974045,0.004196296989296873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.4,1,org:group,manipulated,insertion,0.2,2,0.25,0.7096774193548387,0.7428571428571429,-0.03317972350230414,4,4,0,25,29,0.16,4,6,0.6666666666666666,35,26,9,0.7428571428571429,0.7428571428571429,0,8,1,1.0,0.2571428571428571,29,133,0,3.8,4,4,16,5.259999306872487e-05,0.00011850000009872019,0.00017109999316744506,0.0033857142885348624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.4,1,org:group,baseline,none,0.0,2,0.25,0.3870967741935484,0.3870967741935484,0.0,0,0,0,25,25,0.0,0,6,0.0,25,,19,0.3870967741935484,0.24,,,,0.38095238095238093,-0.006144393241167445,25,18,7,,,,,0.0006307000003289431,0.0006351000047288835,0.0012658000050578266,0.02540400018915534,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",3,4,8,4,0,4,4,0,[],0,[],1.0,4,2,2,8,1,1,4,6,0,31,31,19,19,6,7,18,25
